Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-07-07,20547.814453125,21771.81640625,20296.103515625,21637.587890625,25814972520,18,-0.8807,8.424666666666666e-05,19323.9140625,-0.10692845430924647,1
2022-07-08,21637.154296875,22314.94140625,21257.453125,21731.1171875,49899834488,20,-1.2027,6.737333333333334e-05,19323.9140625,-0.11077217541234613,1
2022-07-09,21716.828125,21877.138671875,21445.95703125,21592.20703125,29641127858,24,-1.135,8.714333333333334e-05,19323.9140625,-0.10505146442265682,1
2022-07-10,21591.080078125,21591.080078125,20727.123046875,20860.44921875,28688807249,24,-1.7378,9.987333333333332e-05,19323.9140625,-0.07365781724723915,0
2022-07-11,20856.353515625,20856.353515625,19924.5390625,19970.556640625,24150249025,22,-1.5615,6.759666666666666e-05,19323.9140625,-0.03237979740682694,0
2022-07-12,19970.474609375,20043.4453125,19308.53125,19323.9140625,25810220018,16,-1.4195,5.7010000000000005e-05,20212.07421875,0.04596171114078613,0
2022-07-13,19325.97265625,20223.052734375,18999.953125,20212.07421875,33042430345,15,-1.1837,-6.016666666666666e-06,20569.919921875,0.017704551212910136,0
2022-07-14,20211.466796875,20789.89453125,19689.2578125,20569.919921875,31158743333,18,-1.6572,4.5026666666666674e-05,20779.34375,0.010181071628883157,0
2022-07-15,20573.15625,21138.244140625,20397.0,20836.328125,25905575359,15,-1.0514,4.086333333333333e-05,20779.34375,-0.0027348568643257532,0
2022-07-16,20834.103515625,21514.404296875,20518.8984375,21190.31640625,24302954056,21,-1.0138,4.950333333333333e-05,20779.34375,-0.019394361479604206,0
2022-07-17,21195.041015625,21600.640625,20778.1796875,20779.34375,22927802083,24,-1.5052,8.915666666666667e-05,21239.75390625,0.02215710764446062,0
2022-07-18,20781.912109375,22633.033203125,20781.912109375,22485.689453125,39974475562,20,-1.3166,0.0001,21239.75390625,-0.055410155400053486,0
2022-07-19,22467.849609375,23666.962890625,21683.40625,23389.43359375,48765202697,30,-0.771,0.0001,21239.75390625,-0.09190815497449352,0
2022-07-20,23393.19140625,24196.818359375,23009.94921875,23231.732421875,42932549127,31,-0.8675,9.372666666666669e-05,21239.75390625,-0.0857438644459142,0
2022-07-21,23233.201171875,23388.322265625,22431.1484375,23164.62890625,33631012204,34,-0.8932,0.0001,21239.75390625,-0.08309543864441764,0
2022-07-22,23163.751953125,23671.927734375,22603.416015625,22714.978515625,31421555646,33,-1.0027,8.390666666666666e-05,21239.75390625,-0.06494501451367142,0
2022-07-23,22706.984375,22977.2109375,22002.91015625,22465.478515625,24021799169,31,-1.2127,6.688e-05,21239.75390625,-0.054560360622743664,0
2022-07-24,22465.509765625,22974.001953125,22306.83984375,22609.1640625,23565495303,30,0.9434,7.354333333333333e-05,21239.75390625,-0.06056880972973832,0
2022-07-25,22607.15625,22649.12109375,21361.642578125,21361.701171875,35574561406,30,-0.5646,4.519e-05,21239.75390625,-0.005708686992848529,0
2022-07-26,21361.12109375,21361.12109375,20776.81640625,21239.75390625,28624673855,26,-0.845,7.437666666666666e-05,22630.95703125,0.0654999644129881,0
2022-07-27,21244.169921875,22986.529296875,21070.806640625,22930.548828125,31758955233,28,-0.5594,4.209e-05,22630.95703125,-0.013065182134129374,0
2022-07-28,22933.640625,24110.470703125,22722.265625,23843.88671875,40212386158,32,-0.4127,9.743e-05,22630.95703125,-0.05086962967938421,0
2022-07-29,23845.212890625,24294.787109375,23481.173828125,23804.6328125,35887249746,39,-0.5917,0.0001,22630.95703125,-0.049304511037603305,0
2022-07-30,23796.818359375,24572.580078125,23580.5078125,23656.20703125,28148218301,42,0.5909,0.0001,22630.95703125,-0.04333957673965392,0
2022-07-31,23652.0703125,24121.642578125,23275.703125,23336.896484375,23553591896,39,-1.1575,8.760333333333334e-05,22630.95703125,-0.030249928631155183,0
2022-08-01,23336.71875,23464.787109375,22890.796875,23314.19921875,25849159141,33,-0.637,8.816333333333335e-05,22630.95703125,-0.029305839805577175,0
2022-08-02,23308.43359375,23415.041015625,22710.083984375,22978.1171875,28389250717,31,-0.6749,8.539333333333333e-05,22630.95703125,-0.015108294270465889,0
2022-08-03,22981.302734375,23578.650390625,22747.8359375,22846.5078125,26288169966,34,-1.1463,2.5e-06,22630.95703125,-0.009434736504108773,0
2022-08-04,22848.21484375,23198.009765625,22485.701171875,22630.95703125,25120229769,30,-0.6852,1.0076666666666666e-05,20877.552734375,-0.07747813291562564,0
2022-08-05,22626.833984375,23422.828125,22612.177734375,23289.314453125,28881249043,31,-0.6396,3.527e-05,20877.552734375,-0.10355657843017298,1
2022-08-06,23291.423828125,23326.5625,22961.279296875,22961.279296875,15978259885,31,-1.3314,8.492333333333335e-05,20877.552734375,-0.09074958479267278,0
2022-08-07,22963.505859375,23359.009765625,22894.556640625,23175.890625,15886817043,30,-0.878,3.888e-05,20877.552734375,-0.09916934489437772,0
2022-08-08,23179.52734375,24203.689453125,23176.546875,23809.486328125,28575544847,30,-0.4225,7.596666666666667e-05,20877.552734375,-0.12314140478900833,1
2022-08-09,23811.484375,23898.615234375,22982.0,23164.318359375,23555719219,42,-0.8014,9.306666666666667e-05,20877.552734375,-0.09871931431448776,0
2022-08-10,23162.8984375,24127.4140625,22771.51953125,23947.642578125,32837431722,31,-0.8088,2.902333333333333e-05,20877.552734375,-0.12820008623956902,1
2022-08-11,23948.345703125,24822.62890625,23900.99609375,23957.529296875,37127036580,41,0.0012,7.372333333333333e-05,20260.01953125,-0.15433602187464715,1
2022-08-12,23957.203125,24412.56640625,23657.265625,24402.818359375,27265804688,42,-0.565,2.3506666666666663e-05,20041.73828125,-0.17871214766672938,1
2022-08-13,24402.1875,24860.05078125,24346.115234375,24424.068359375,22987346289,46,-0.8457,2.35e-05,19616.814453125,-0.1968244534659915,1
2022-08-14,24429.056640625,24974.9140625,24206.259765625,24319.333984375,22994133555,47,-0.6234,1.1006666666666666e-05,19616.814453125,-0.19336547350644287,1
2022-08-15,24318.31640625,25135.58984375,23839.775390625,24136.97265625,35123501685,45,-0.6776,-1.3426666666666666e-05,19616.814453125,-0.18727113244479546,1
2022-08-16,24126.13671875,24228.416015625,23733.5,23883.291015625,27753685646,44,-0.693,2.0896666666666663e-05,19616.814453125,-0.1786385536109229,1
