Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash,SMA_7,SMA_14,Volume_Ratio_7d,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width_Percent,RSI_14,FNG_Momentum_3d,FNG_Momentum_7d,GDELT_Tone_Momentum_3d,Funding_Rate_7d_Avg
2022-07-20,23393.19140625,24196.818359375,23009.94921875,23231.732421875,42932549127,31,-0.8675,9.372666666666669e-05,21239.75390625,-0.0857438644459142,0,21783.251953125,21272.19070870536,1.2735995244486413,20829.449609375,1232.2198672846364,23293.889343944273,18365.009874805724,0.4873892387796336,65.5379946318264,7.0,16.0,0.6377,7.403952380952382e-05
2022-07-21,23233.201171875,23388.322265625,22431.1484375,23164.62890625,33631012204,34,-0.8932,0.0001,21239.75390625,-0.0830954386444176,0,22153.924665178572,21381.265066964286,0.9873238923966839,21024.2126953125,1279.5867387542862,23583.386172821072,18465.03921780393,0.41818505657171307,60.02916474360142,14.0,16.0,0.4234,8.189285714285716e-05
2022-07-22,23163.751953125,23671.927734375,22603.416015625,22714.978515625,31421555646,33,-1.0027,8.390666666666666e-05,21239.75390625,-0.0649450145136714,0,22422.303292410714,21451.540876116072,0.9016023135456309,21197.848828125,1260.5310280227116,23718.910884170422,18676.786772079577,0.3008909843892923,56.172958569831664,3.0,18.0,-0.2316999999999999,8.804190476190478e-05
2022-07-23,22706.984375,22977.2109375,22002.91015625,22465.478515625,24021799169,31,-1.2127,6.688e-05,21239.75390625,-0.0545603606227436,0,22604.469308035714,21513.917410714286,0.6900708347143925,21356.2689453125,1207.0372741561011,23770.3434936247,18942.194397000298,0.2297380524325574,55.404099726045146,0.0,10.0,-0.34519999999999984,9.052428571428572e-05
2022-07-24,22465.509765625,22974.001953125,22306.83984375,22609.1640625,23565495303,30,0.9434,7.354333333333333e-05,21239.75390625,-0.0605688097297383,0,22865.872209821428,21638.825613839286,0.6751956782742807,21475.1640625,1207.503396091455,23890.17085468291,19060.15727031709,0.23478194837186855,61.67110738010074,-4.0,6.0,1.8366,8.829380952380952e-05
2022-07-25,22607.15625,22649.12109375,21361.642578125,21361.701171875,35574561406,30,-0.5646,4.519e-05,21239.75390625,-0.0057086869928485,0,22705.30245535714,21738.19308035714,1.0379712045419949,21533.743359375,1169.7079535713117,23873.15926651762,19194.327452232377,-0.036770329502916976,58.86168394713242,-3.0,10.0,0.43809999999999993,8.046380952380954e-05
2022-07-26,21361.12109375,21361.12109375,20776.81640625,21239.75390625,28624673855,26,-0.845,7.437666666666666e-05,22630.95703125,0.0654999644129881,0,22398.20535714286,21875.03878348214,0.911731426617566,21568.31875,1149.0827697174434,23866.484289434884,19270.153210565113,-0.07148415510372504,63.07826989412696,-5.0,-4.0,0.3676999999999999,7.680333333333334e-05
2022-07-27,21244.169921875,22986.529296875,21070.806640625,22930.548828125,31758955233,28,-0.5594,4.209e-05,22630.95703125,-0.0130651821341293,0,22355.179129464286,22069.21554129464,1.0657467010351118,21632.966796875,1188.8676212035869,24010.702039282172,19255.231554467828,0.2728609157376903,66.72464811596738,-2.0,-3.0,-1.5028000000000001,6.942666666666666e-05
2022-07-28,22933.640625,24110.470703125,22722.265625,23843.88671875,40212386158,32,-0.4127,9.743e-05,22630.95703125,-0.0508696296793842,0,22452.215959821428,22303.0703125,1.308148773009207,21738.6052734375,1287.798240190849,24314.201753819198,19163.008793055804,0.40869784171325274,68.85351589344131,2.0,-2.0,0.15189999999999998,6.905952380952381e-05
2022-07-29,23845.212890625,24294.787109375,23481.173828125,23804.6328125,35887249746,39,-0.5917,0.0001,22630.95703125,-0.0493045110376033,0,22607.880859375,22515.09207589286,1.1437119441896575,21849.2265625,1367.1398841974794,24583.506330894958,19114.946794105042,0.35757245337550775,67.5525326791724,13.0,6.0,0.25329999999999997,7.135857142857143e-05
